sales_order,customer_name,business_partner_id,customer_reference,document_date,requested_delivery_date,requested_lead_days,overall_status,net_value_eur
625,Philly Bikes,127256,2/27/26,2026-02-27,2026-03-27,28,Open,3200.0
624,The Bike Zone 244,1003791,244,2026-02-27,2026-03-06,7,Completed,12000.0
623,The Bike Zone 258,1003774,258,2026-02-27,2026-02-27,0,Completed,6400.0
622,The Bike Zone 256,1003757,256,2026-02-27,2026-03-13,14,Completed,6400.0
621,Philly Bikes,127255,255,2026-02-27,2026-04-10,42,Completed,3040.0
620,Philly Bikes,127545,PHILLY4,2026-02-27,2026-04-10,42,Completed,3040.0
619,Philly Bikes,127545,PHILLY4,2026-02-27,2026-04-10,42,Open,3040.0
618,Philly Bikes,127237,237,2026-02-27,2026-04-10,42,Completed,3040.0
617,Philly Bikes,127259,259,2026-02-27,2026-03-13,14,Open,6400.0
616,Philly Bikes,127248,248,2026-02-27,2026-04-10,42,Completed,3040.0
615,The Bike Zone 213,1003934,213,2026-02-27,2026-03-27,28,Completed,9000.0
614,Philly Bikes,127237,237,2026-02-27,2026-04-10,42,Open,3040.0
613,The Bike Zone 240,1003744,Order 1,2026-02-27,2026-03-06,7,Open,12000.0
612,The  Bike Zone 259,1003784,259,2026-02-27,2026-03-13,14,Open,6400.0
611,Philly Bikes,127237,237,2026-02-27,2026-04-10,42,Open,3040.0
610,The Bike Zone 240,1003744,Order 1,2026-02-27,2026-03-06,7,Open,12000.0
609,Philly Bikes,127237,237,2026-02-27,2026-04-10,42,Open,3040.0
608,Philly Bikes,127237,237,2026-02-27,2026-04-10,42,Open,3040.0
607,The Bike Zone 243,1003938,243,2026-02-27,2026-03-06,7,Completed,12000.0
606,The Bike Zone 243,1003938,243,2026-02-27,2026-03-06,7,Open,12000.0
605,The Bike Zone 248,1003745,248,2026-02-27,2026-03-13,14,Completed,6400.0
604,The Bike Zone 243,1003938,243,2026-02-27,2026-03-06,7,Open,12000.0
603,Philly Bikes,127259,259,2026-02-27,2026-03-27,28,Completed,9000.0
602,Philly Bikes,127242,UR,2026-02-27,2026-04-09,41,Completed,3040.0
601,The Bike Zone 238,1003769,238,2026-02-27,2026-04-10,42,Completed,3040.0
600,Philly Bikes,127001,201,2026-02-27,2026-03-06,7,Completed,12000.0
599,Philly Bikes,127259,259,2026-02-27,2026-03-27,28,Completed,9000.0
598,Philly Bikes,127258,258,2026-02-27,2026-03-27,28,Completed,9000.0
597,Philly Bikes,127232,232,2026-02-27,2026-03-27,28,Completed,12000.0
596,The Bike Zone 213,1003934,213,2026-02-27,2026-03-06,7,Completed,12000.0
595,The Bike Zone 238,1003769,238,2026-02-27,2026-03-27,28,Completed,6400.0
594,Philly Bikes,127231,231,2026-02-27,2026-03-27,28,Open,9000.0
593,Philly Bikes,127204,204,2026-02-27,2026-03-27,28,Completed,9000.0
592,The Bike Zone 237,1003762,237,2026-02-27,2026-03-13,14,Completed,6400.0
591,Philly Bikes,127233,233,2026-02-27,2026-04-10,42,Completed,3040.0
590,Philly Bikes,127212,212,2026-02-27,2026-03-27,28,Completed,9000.0
589,The Bike Zone 213,1003934,213,2026-02-27,2026-03-06,7,Not Relevant,0.0
588,The Bike Zone 233,1003905,*233,2026-02-27,2026-03-13,14,Completed,6400.0
587,Philly Bikes,127203,203,2026-02-27,2026-04-10,42,Completed,3040.0
586,The Bike Zone 231,1003909,231,2026-02-27,2026-02-27,0,Completed,12000.0
585,The Bike Zone 220,1003923,220,2026-02-27,2026-02-27,0,Completed,12000.0
584,The Bike Zone 255,1003869,255,2026-02-27,2026-03-13,14,Completed,6400.0
583,Philly Bikes,127000,251,2026-02-27,2026-03-27,28,Open,9000.0
582,Philly Bikes,127237,237,2026-02-27,2026-03-27,28,Completed,9000.0
581,Philly Bikes,127206,206,2026-02-27,2026-04-10,42,Completed,3040.0
580,The Bike Zone 216,1003918,216,2026-02-27,2026-03-13,14,Completed,6400.0
579,The Bike Zone 238,1003769,238,2026-02-27,2026-03-27,28,Completed,9000.0
578,The Bike Zone 204,1003933,204,2026-02-27,2026-03-27,28,Completed,12000.0
577,Philly Bikes,127237,237,2026-02-27,2026-02-27,0,Open,0.0
576,The Bike Zone 213,1003934,213,2026-02-27,2026-03-06,7,Completed,12000.0
575,Philly Bikes,127225,225,2026-02-27,2026-02-27,0,Completed,3040.0
574,The Bike Zone 364,1003808,364,2026-02-27,2026-03-06,7,Completed,12000.0
573,The Bike Zone 220,1003923,220,2026-02-27,2026-02-27,0,Not Relevant,0.0
572,The Bike Zone 258,1003774,258,2026-02-27,2026-03-06,7,Completed,12000.0
571,The Bike Zone 213,1003934,213,2026-02-27,2026-03-06,7,Completed,12000.0
570,The Bike Zone 217,1003926,217,2026-02-27,2026-03-06,7,In Process,24000.0
569,The bike Zone #219,1003943,02/27/26,2026-02-27,2026-02-27,0,Not Relevant,0.0
568,Philly Bikes,127233,233,2026-02-27,2026-03-27,28,Completed,9000.0
567,The Bike Zone 220,1003923,220,2026-02-27,2026-02-27,0,Not Relevant,0.0
566,Philly Bikes,127255,255,2026-02-27,2026-03-27,28,Completed,9000.0
565,The Bike Zone 256,1003757,256,2026-02-27,2026-03-27,28,Completed,9000.0
564,Philly Bikes,127246,246,2026-02-27,2026-04-10,42,Completed,3040.0
563,Philly Bikes,127211,211,2026-02-27,2026-03-27,28,Completed,9000.0
562,Philly Bikes,127259,259,2026-02-27,2026-03-07,8,Completed,12000.0
561,Philly Bikes,127252,252,2026-02-27,2026-04-10,42,Completed,3040.0
560,The Bike Zone 203,1003766,203,2026-02-27,2026-03-13,14,Completed,6400.0
559,Philly Bikes,127223,223,2026-02-27,2026-04-10,42,Completed,2888.0
558,The Bike Zone 210,1003758,210,2026-02-27,2026-03-06,7,Completed,12000.0
557,The Bike Zone 075,1003258,258,2026-02-27,2026-03-06,7,Completed,12000.0
556,Philly Bikes,127212,212,2026-02-27,2026-03-07,8,Completed,12000.0
555,The Bike Zone 246,1003737,246,2026-02-27,2026-02-27,0,Completed,6400.0
554,The Bike Zone 206,1003861,206,2026-02-27,2026-03-13,14,Completed,6400.0
553,Philly Bikes,127223,223,2026-02-27,2026-04-10,42,Open,3200.0
552,The Bike Zone 256,1003757,256,2026-02-27,2026-02-23,-4,Open,12000.0
551,The bike Zone #219,1003943,02/27/26,2026-02-27,2026-03-06,7,Completed,12000.0
550,Philly Bikes,127249,249,2026-02-27,2026-03-27,28,Completed,9000.0
549,The bike Zone #219,1003943,219,2026-02-27,2026-02-27,0,Not Relevant,0.0
548,The Bike Zone 213,1003934,213,2026-02-27,2026-03-06,7,Completed,12000.0
547,The Bike Zone 227,1003919,227,2026-02-27,2026-03-06,7,Completed,12000.0
546,The Bike Zone 213,1003934,213,2026-02-27,2026-03-06,7,Completed,12000.0
545,The Bike Zone 222,1003964,The Bike Zone 222,2026-02-27,2026-03-06,7,Completed,12000.0
544,The Bike Zone 362,1003785,362,2026-02-27,2026-03-06,7,Completed,12000.0
543,The Bike Zone 226,1003957,226,2026-02-27,2026-03-05,6,Completed,12000.0
542,The Bike Zone 237,1003762,237,2026-02-26,2026-03-05,7,Completed,12000.0
541,Philly Bikes,127207,207,2026-02-26,2026-04-09,42,Completed,3195.0
540,The Bike Zone 251,1003914,251,2026-02-26,2026-03-07,9,Completed,12000.0
539,The Bike Zone 251,1003914,251,2026-02-26,2026-03-07,9,Open,12000.0
538,The Bike Zone 251,1003914,PO251,2026-02-26,2026-02-26,0,Open,12000.0
537,The Bike Zone 251,1003914,,2026-02-26,2026-02-26,0,Open,12000.0
536,The Bike Zone 242,1003998,UI,2026-02-26,2026-03-12,14,Completed,6400.0
535,The Bike Zone 375,1003659,375,2026-02-26,2026-03-06,8,Completed,12000.0
534,The Bike Zone 375,1003659,Aaleyah Washington,2026-02-26,2026-02-26,0,Open,12000.0
533,The Bike Zone 351,1003616,351,2026-02-26,2026-03-05,7,Completed,12000.0
532,The Bike Zone 378,1003546,378,2026-02-26,2026-03-05,7,Completed,12800.0
531,The Bike Zone 405,1004073,405,2026-02-26,2026-03-05,7,Completed,12000.0
530,The Bike Zone 210,1003758,210,2026-02-26,2026-02-26,0,Not Relevant,0.0
529,Philly Bikes,127241,241,2026-02-26,2026-04-09,42,Completed,3040.0
528,The Bike Zone 241,1003921,241,2026-02-26,2026-03-12,14,Completed,6400.0
527,Philly Bikes,127241,241,2026-02-26,2026-03-26,28,Completed,9000.0
526,Philly Bikes,127216,216,2026-02-26,2026-03-26,28,Completed,9000.0
525,The Bike Zone 241,1003921,241,2026-02-26,2026-03-05,7,Completed,12000.0
524,The Bike Zone 383,1003734,*383,2026-02-26,2026-02-26,0,Completed,12000.0
523,The Bike Zone 233,1003905,233,2026-02-26,2026-03-05,7,Completed,12000.0
522,The Bike Zone 365,1003683,365,2026-02-26,2026-03-05,7,Completed,12000.0
521,The Bike Zone 237,1003762,237,2026-02-26,2026-03-05,7,Completed,12000.0
520,The Bike Zone 237,1003762,237,2026-02-26,2026-03-05,7,Completed,12000.0
519,The Bike Zone 237,1003762,237,2026-02-26,2026-03-05,7,Open,12000.0
518,The Bike Zone 237,1003762,237,2026-02-26,2026-03-05,7,Open,12000.0
517,The Bike Zone 237,1003762,237,2026-02-26,2026-03-05,7,Open,12000.0
516,The Bike Zone 237,1003762,237,2026-02-26,2026-03-05,7,Open,12000.0
515,The Bike Zone 362,1003785,10000583,2026-02-26,2026-03-05,7,Completed,12000.0
514,The Bike Zone 398,1003806,398,2026-02-26,2026-03-05,7,Completed,12000.0
513,Philly Bikes,127235,235,2026-02-26,2026-04-09,42,Completed,3040.0
512,Philly Bikes,127235,235,2026-02-26,2026-04-09,42,Open,3200.0
511,Philly Bikes,127235,235,2026-02-26,2026-04-09,42,Completed,3200.0
510,The Bike Zone 216,1003918,216,2026-02-26,2026-03-05,7,Completed,12000.0
509,Philly Bikes,127203,203,2026-02-26,2026-03-26,28,Completed,9600.0
508,Philly Bikes,127001,204,2026-02-26,2026-03-06,8,Completed,3000.0
507,Philly Bikes,127247,Order 4,2026-02-26,2026-04-09,42,Completed,3040.0
506,The Bike Zone 247,1003750,Order 3,2026-02-26,2026-03-12,14,Completed,6400.0
505,The bike zone 358,1003800,358,2026-02-26,2026-03-05,7,Completed,12000.0
504,Philly Bikes,127236,236,2026-02-25,2026-04-08,42,Completed,3040.0
503,The Bike Zone 203,1003766,203,2026-02-25,2026-03-04,7,Completed,12000.0
502,The Bike Zone 236,1003889,236,2026-02-25,2026-03-11,14,Completed,6400.0
501,Philly Bikes,127403,*403,2026-02-25,2026-04-17,51,In Process,6080.0
500,The Bike Zone 203,1003766,1003766,2026-02-25,2026-03-04,7,Completed,12000.0
499,Philly Bikes,127248,248,2026-02-25,2026-03-25,28,Completed,9000.0
498,The Bike Zone 368,1003357,368,2026-02-25,2026-03-04,7,Completed,12000.0
497,Philly Bikes,127500,229,2026-02-25,2026-04-08,42,Completed,3040.0
496,The Bike Zone 368,1003357,368,2026-02-25,2026-03-04,7,Completed,12000.0
495,Philly Bikes,127242,UT,2026-02-25,2026-03-25,28,Completed,9000.0
494,The Bike Zone 373,1003915,373,2026-02-25,2026-03-03,6,Completed,12000.0
493,The Bike Zone 368,1003357,368,2026-02-25,2026-02-25,0,Not Relevant,0.0
492,The Bike Zone 229,1003733,229,2026-02-25,2026-03-04,7,Completed,6400.0
491,Philly Bikes,127247,order 2,2026-02-25,2026-03-25,28,Completed,9000.0
490,Philly Bikes,127500,229,2026-02-25,2026-03-25,28,Completed,9000.0
489,Philly Bikes,127252,252,2026-02-25,2026-04-08,42,Completed,3200.0
488,The Bike Zone 242,1003998,UT,2026-02-25,2026-03-04,7,Completed,12000.0
487,The Bike Zone 252,1003868,252,2026-02-25,2026-03-11,14,Completed,6400.0
486,Philly Bikes,127207,207,2026-02-25,2026-04-08,42,Open,3200.0
485,The Bike Zone 207,1003954,207,2026-02-25,2026-03-11,14,Completed,6400.0
484,The Bike Zone 242,1003998,242,2026-02-25,2026-03-04,7,Completed,12000.0
483,Philly Bikes,127215,215,2026-02-25,2026-04-08,42,Completed,3040.0
482,Philly Bikes,127225,225,2026-02-25,2026-04-08,42,Completed,3200.0
481,The Bike Zone 242,1003998,242,2026-02-25,2026-03-04,7,Open,12000.0
480,The Bike Zone 236,1003889,236,2026-02-25,2026-03-11,14,Completed,9600.0
479,The Bike Zone 235,1003878,235,2026-02-25,2026-03-11,14,Completed,6400.0
478,The Bike Zone 215,1003765,215,2026-02-25,2026-03-11,14,Completed,6400.0
477,The Bike Zone 225,1003773,225,2026-02-25,2026-03-11,14,Completed,6400.0
476,Philly Bikes,127254,254,2026-02-25,2026-02-25,0,Completed,3040.0
475,Philly Bikes,127206,206,2026-02-25,2026-03-25,28,Completed,9000.0
474,Philly Bikes,127224,224,2026-02-25,2026-04-08,42,Completed,3040.0
473,Philly Bikes,127236,236,2026-02-25,2026-03-25,28,Completed,9000.0
472,Philly Bikes,127235,235,2026-02-25,2026-03-25,28,Completed,9000.0
471,Philly Bikes,127207,207,2026-02-25,2026-03-25,28,Completed,9000.0
470,The Bike Zone 242,1003998,242,2026-02-25,2026-03-04,7,Completed,12000.0
469,Philly Bikes,127254,254,2026-02-25,2026-04-08,42,Completed,3040.0
468,Philly Bikes,127252,252,2026-02-25,2026-03-25,28,Completed,9000.0
467,Philly Bikes,127223,223,2026-02-25,2026-03-25,28,Completed,9000.0
466,The Bike Zone 224,1003761,224,2026-02-25,2026-03-11,14,Completed,6400.0
465,Philly Bikes,127225,225,2026-02-25,2026-03-25,28,Completed,9000.0
464,The Bike Zone 254,1003764,254,2026-02-25,2026-03-11,14,Completed,6400.0
463,Philly Bikes,127215,215,2026-02-25,2026-03-25,28,Completed,9000.0
462,The Bike Zone 242,1003998,242,2026-02-25,2026-03-04,7,Completed,12000.0
461,The Bike Zone 209,1003760,209,2026-02-25,2026-03-03,6,Completed,12000.0
460,The Bike Zone 242,1003998,242,2026-02-25,2026-02-25,0,Open,12000.0
459,Philly Bikes,127224,224,2026-02-25,2026-03-25,28,Completed,9000.0
458,Philly Bikes,127246,246,2026-02-25,2026-03-25,28,Completed,9000.0
457,Philly Bikes,127207,207,2026-02-25,2026-03-04,7,Completed,12000.0
456,The Bike Zone 235,1003878,235,2026-02-25,2026-03-04,7,Completed,12000.0
455,Philly Bikes,127000,246,2026-02-25,2026-03-25,28,Completed,9000.0
454,The Bike Zone 235,1003878,235,2026-02-25,2026-02-25,0,Open,12000.0
453,THE BIKE ZONE 211,1003879,211,2026-02-25,2026-03-04,7,Completed,12000.0
452,The Bike Zone 234,1003740,234,2026-02-25,2026-03-04,7,Completed,12000.0
451,the bike zone 223,1003778,223,2026-02-25,2026-03-04,7,Completed,6400.0
450,The Bike Zone 242,1003998,242,2026-02-25,2026-03-24,27,Open,21400.0
449,The Bike Zone 236,1003889,236,2026-02-25,2026-03-04,7,Completed,12000.0
448,The Bike Zone 238,1003769,238,2026-02-25,2026-03-04,7,Completed,12000.0
447,Philly Bikes,127254,254,2026-02-25,2026-03-25,28,Completed,9000.0
446,The Bike Zone 234,1003740,234,2026-02-25,2026-03-04,7,Open,12000.0
445,The Bike Zone 252,1003868,252,2026-02-25,2026-03-02,5,Completed,12000.0
444,The Bike Zone 249,1003911,249,2026-02-25,2026-03-04,7,Completed,9000.0
443,The Bike Zone 238,1003769,238,2026-02-25,2026-02-25,0,Not Relevant,0.0
442,Philly Bikes,127253,253,2026-02-25,2026-04-08,42,Completed,3040.0
441,The Bike Zone 247,1003750,247-1,2026-02-25,2026-03-04,7,Completed,12000.0
440,The Bike Zone 402,1003607,402,2026-02-25,2026-03-04,7,Completed,12000.0
439,The Bike Zone 388,1003579,388,2026-02-25,2026-03-04,7,Completed,12000.0
438,The Bike Zone 388,1003579,388,2026-02-25,2026-03-04,7,Completed,12000.0
437,The Bike Zone 388,1003579,388,2026-02-25,2026-03-04,7,Completed,12000.0
436,The Bike Zone 404,1003834,404,2026-02-24,2026-03-24,28,Open,9000.0
435,Philly Bikes,127380,380,2026-02-24,2026-04-07,42,In Process,6080.0
434,The Bike Zone 380,1003857,380,2026-02-24,2026-03-24,28,Open,9000.0
433,The Bike Zone 395,1003851,395,2026-02-24,2026-03-24,28,In Process,9000.0
432,The Bike Zone 388,1003579,388,2026-02-24,2026-03-24,28,Completed,9000.0
431,The Bike Zone 352,1003837,352,2026-02-24,2026-02-24,0,In Process,21400.0
430,The Bike Zone 355,1003832,355,2026-02-24,2026-03-24,28,Completed,9120.0
429,Philly Bikes,127390,390,2026-02-24,2026-04-07,42,In Process,6080.0
428,Philly Bikes,127355,355,2026-02-24,2026-04-07,42,Completed,6080.0
427,The Bike Zone 395,1003851,395,2026-02-24,2026-03-24,28,In Process,9000.0
426,Philly Bikes,127404,404,2026-02-24,2026-04-07,42,Completed,6080.0
425,Philly Bikes,127409,409,2026-02-24,2026-04-07,42,In Process,6080.0
424,Philly Bikes,127380,127380,2026-02-24,2026-02-24,0,Not Relevant,0.0
423,Philly Bikes,127388,388,2026-02-24,2026-04-07,42,In Process,6080.0
422,The Bike Zone 400,1003626,400,2026-02-24,2026-03-26,30,Completed,9000.0
421,The Bike Zone 401,1003844,401,2026-02-24,2026-03-24,28,Completed,9000.0
420,Philly Bikes,127395,395,2026-02-24,2026-04-07,42,In Process,6080.0
419,Philly Bikes,127380,Philly Bikes,2026-02-24,2026-02-24,0,Not Relevant,0.0
418,Philly Bikes,127355,355,2026-02-24,2026-04-07,42,Completed,6080.0
417,Philly Bikes,127388,388,2026-02-24,2026-04-07,42,Open,6400.0
416,Philly Bikes,127352,352,2026-02-24,2026-04-07,42,In Process,6080.0
415,Philly Bikes,127352,352,2026-02-24,2026-04-07,42,Not Relevant,0.0
414,Philly Bikes,127379,379,2026-02-24,2026-04-07,42,Completed,6080.0
413,Philly Bikes,127379,379,2026-02-24,2026-02-24,0,Completed,9120.0
412,The Bike Zone 397,1003821,397,2026-02-24,2026-03-24,28,Completed,9000.0
411,Philly Bikes,127379,379,2026-02-24,2026-04-07,42,Open,6400.0
410,Philly Bikes,127395,395,2026-02-24,2026-04-07,42,Completed,6080.0
409,Philly Bikes,127419,419,2026-02-24,2026-04-07,42,Open,6080.0
408,Philly Bikes,127401,401,2026-02-24,2026-04-07,42,Completed,6080.0
407,The Bike Zone 408,1003803,408,2026-02-24,2026-03-03,7,Completed,12000.0
406,The Bike Zone 410,1003838,410,2026-02-24,2026-03-24,28,Completed,9000.0
405,The Bike Zone 379,1003849,379,2026-02-24,2026-03-24,28,Completed,9000.0
404,Philly Bikes,127397,397,2026-02-24,2026-04-07,42,Completed,6080.0
403,Philly Bikes,127397,397,2026-02-24,2026-04-07,42,Open,5700.0
402,Philly Bikes,127397,397,2026-02-24,2026-04-07,42,Open,5700.0
401,The Bike Zone 360,1003814,360,2026-02-24,2026-03-24,28,Completed,9000.0
400,The Bike Zone 379,1003849,379,2026-02-24,2026-02-24,0,Completed,9000.0
399,Philly Bikes,127400,400,2026-02-24,2026-04-07,42,Completed,6080.0
398,The Bike Zone 386,1003842,386,2026-02-24,2026-03-24,28,Open,9600.0
397,Philly Bikes,127410,410,2026-02-24,2026-04-07,42,Completed,6080.0
396,Philly Bikes,127386,386,2026-02-24,2026-04-07,42,In Process,6080.0
395,The Bike Zone 408,1003803,408,2026-02-24,2026-03-24,28,Completed,9000.0
394,Philly Bikes,127399,399,2026-02-24,2026-03-24,28,Completed,9000.0
393,The Bike Zone 369,1003796,369,2026-02-24,2026-03-24,28,Completed,9000.0
392,The Bike Zone 381,1003825,381,2026-02-24,2026-03-24,28,Completed,9000.0
391,The Bike Zone 359,1003847,359,2026-02-24,2026-03-24,28,Completed,9000.0
390,Philly Bikes,127399,399,2026-02-24,2026-04-07,42,Completed,6080.0
389,The Bike Zone 384,1003629,384,2026-02-24,2026-03-24,28,In Process,9000.0
388,Philly Bikes,127369,369,2026-02-24,2026-04-07,42,Completed,6080.0
387,Philly Bikes,127359,359,2026-02-24,2026-04-07,42,Completed,6080.0
386,The Bike Zone 374,1003816,TBZ-PO1,2026-02-24,2026-03-24,28,Completed,6000.0
385,The Bike Zone 248,1003745,248,2026-02-24,2026-03-03,7,Completed,12000.0
384,Philly Bikes,127384,384,2026-02-24,2026-04-07,42,Completed,6080.0
383,Philly Bikes,127384,384,2026-02-24,2026-04-07,42,Open,5700.0
382,The Bike Zone 242,1003998,3,2026-02-24,2026-03-03,7,Open,12000.0
381,The Bike Zone 242,1003998,242,2026-02-24,2026-03-03,7,Completed,12000.0
380,Philly Bikes,127381,381,2026-02-24,2026-04-07,42,Completed,6080.0
379,Philly Bikes,127419,419,2026-02-24,2026-04-07,42,Completed,6080.0
